1020	PP aparat 10975 CO2-5	IV-SPRAT
1021	PP aparat 11161 CO2-5	II-SPRAT
1022	PP aparat 11022 CO2-5	II-SPRAT
1023	PP aparat 11035 CO2-5	I-SPRAT
1024	PP aparat 11040 CO2-5	I-SPRAT
1026	Telefon panasonic KX-TS-500 FXB	NULL
1027	Swich	NULL
1028	Radni sto	NULL
1029	Radni sto	NULL
1030	Radna stolica	NULL
1032	Ra?unar-ku?i?te Desktop	NULL
1033	Klima ure?aj Beko	SPC
1034	Monitor LCD samsung sync master 710n	NULL
1035	Ra?unar-ku?i?te Desktop	NULL
1036	Printer Epson-POS	MAG-4
1037	Radna stolica	KOPIRNICA
1038	Radni sto	SPC
1039	Heftalica stolna srednja	SPC
1040	Heftalica automatska Ideal 8560	SPC
1041	No? Ideal elektri?ni tip 6550-95 EP	SPC
1042	Bu?a? sa 4 rupe tip esselte Q 25	SPC
1043	Radni sto sa 9 ladica	SPC
1046	Xerox ma?ina za kopiranje A0 tip. 8830 ODS-Skener	SPC
1047	Xerox ma?ina kabinet sa 3 ladice za rolne A0	SPC
1048	Polica	MAG-4
1049	Polica	MAG-4
1050	?iva?a ma?ina Brother za logotipe-grafi?ka PP600II	NULL
1051	Monitor LCD Samsung 943	B.LUKA
1052	Ra?unar-ku?i?te	SPC
1053	Fiksni telefon panasonic KX-TS-500 FXB-6AAFC106497	NULL
1054	Zvu?nici limus 1+3	NULL
1055	Ruter	NULL
1056	Radni sto	MBL
1058	Drvena polica	MAG-2
1059	Lenijar metalni -1m	SPC
1060	Monitor Samsung SM-720 N	PO-1D
1061	Ra?unar fuitsu	NULL
1063	Radni sto	SERVIS 4
1064	Ormari? sa ladicama	NULL
1065	Radna stolica	NULL
1066	Radna tabla dahle	NULL
1067	Monitor Samsung	NULL
1068	Ra?unar asus	NULL
1069	Telefon panasonic KX-T-2373 FXW	Servis 2
1071	Radni sto	SERVIS 1
1072	Ormari? sa ladicama	NULL
1073	Radna stolica	NULL
1074	Stol	PO-1D
1075	Ormari?  sa ladicama	SERVIS 1
1076	Radna stolica	SERVIS 1
1077	Fri?ider Beko	PS
1078	Ormar dvokrilni drveni	PO-1D
1079	Ormar za registratore-dvokrilni drveni	PO-1D
1080	Ormar za registratore visoki drveni	PO-1D
1081	Primopredajnik za telefon	PS
1082	Primopredajnik za telefon	PS
1083	Swich	PS
1084	Kutija za rezervne dijelove	PS
1085	Kompresor	PS
1086	Pokretni sto sa to?kovima	PS
1088	Radni sto	NULL
1090	Telefon panasonic	NULL
1091	Kalkulator C-0301A	NULL
1092	Radna stolica	SERVIS 1
1093	Radna stolica	SERVIS 1
1095	Radni sto	SERVIS 4
1096	Pokretni sto sa to?kovima	PS
1097	Elektri?na vakum pumpa	PS
1098	Radni sto	SERVIS 4
1099	Radna stolica	NULL
1100	Radni sto	PS
1101	Radna stolica	NULL
1102	Monitor	PS
1103	Radni sto	NULL
1104	Radna stolica	SERVIS 4
1105	Radna stolica	SERVIS 1
1106	Radni sto	SERVIS 1
1107	Produ?ni kabl	PS
1109	Radni sto	SERVIS 1
1110	Usisiva? veliki crni	PS
1111	Radni sto	PAK
1114	Pokretni sto sa to?kovima	PS
1115	Radni sto	PAK
1116	Pokretni sto sa to?kovima	PS
1117	Pokretni sto sa to?kovima	PS
1118	Radni sto	PAK
1119	Stolica	NULL
1120	Radni sto	PAK
1121	Radna stolica	NULL
1123	Ra?unar-ku?i?te	NULL
1124	Radna stolica	PS
1125	Radni sto	SERVIS 4
1126	Radna stolica	SERVIS 1
1127	Klima Beko BKH180/BKH181	PS
1128	Grijalica Tea	MBL
1131	Stala?e aluminijske vezuju?e	PSV
1132	Pokretni sto sa to?kovima	PS
1133	Radni sto	MAG-4
1134	Polica metalna 1x4	MAG-5
1137	Ormar sa ladicama za dijelove	MAG-5
1138	Ormar sa ladicama za dijelove	MAG-5
1139	Ormar sa ladicama za dijelove	MAG-5
1140	Ormar sa ladicama za dijelove	MAG-5
1141	Metalna stala?a sa policama	MAG-5
1142	Metalna stala?a sa policama	MAG-5
1144	Metalna stala?a sa policama	MAG-4
1145	Metalna stala?a sa policama	MAG-4
1146	Metalna stala?a sa policama	MAG-4
1147	Polica metalna 1x5	MAG-4
1148	Polica metalna 1x5	MAG-4
1149	Metalna stala?a sa policama	MAG-4
1150	Polica metalna 1x5	MAG-5
1151	Polica metalna 1x4	MAG-5
1152	Polica metalna 1x5	MAG-5
1154	Kofer za dijelove	MAG-5
1156	Metalna stala?a sa policama	MAG-1
1157	Metalna stala?a sa policama	MAG-4
1158	Merdevine metalne	MAG-4
1159	Polica metalna 1/3	MAG-5
1160	Metalna polica 1/5	MAG-5
1161	Metalna stala?a sa policama	MAG-5
1162	Polica metalna 1/5	MAG-5
1163	Polica za registratore drvena 1/4 dvodjelna	PSV
1164	Pokretni sto sa to?kovima	PS
1165	Polica 1/2 siva drvena	MAG-2
1167	Polica drvena dvodjelna-siva	MAG-2
1168	Polica drvena dvodjelna-siva	MAG-2
1169	Polica drvena dvodjelna-siva	MAG-2
1170	Stol drveni	MAG-1
1171	Stol drveni	MAG-1
1172	Stol drveni	MAG-1
1173	Drvena polica	MAG-2
1174	Drvena polica	MAG-4
1175	Drvena polica	MAG-2
1176	Drvena polica	MAG-2
1177	Drvena polica	MAG-4
1178	Drvena polica	MAG-2
1179	Drvena polica	MAG-2
1180	Drvena polica	MAG-2
1181	Drvena polica	MAG-2
1182	Drvena polica	MAG-4
1183	Drvena polica	MAG-4
1184	Neonska lampa	MAG-1
1185	Neonska lampa	MAG-1
1186	Neonska lampa	MAG-1
1187	Neonska lampa	MAG-1
1188	Produ?ni kabl sivi sa 5 uti?nica	PS
1189	Zavariva? pl.folijer	PS
1192	Elektri?na bu?ilica	PS
1193	Ra?na stega	MAG-1
1195	Usisiva? veliki	PS
1196	Alarm paradoks	Servis 2
1203	Kada	WC
1204	Bojler	WC
1205	Ormar	WC
1206	Reno kangoo 550-M-392	VP
1207	Caddy 978-T-427	NULL
1210	Mobilni telefon Nokia 1110	NULL
1212	Mobilni telefon Nokia 1110 065/856926 (253)	MOB
1213	Mobilni telefon Nokia 1110	MOB
